Card Concept,Card Element/Type/Slot,Name,Supertype,Type,Subtype,Element,Cost,Dedication,Text,Strength,Defense,Mana,Territory Defense,Flavor Text,Element ID,Card Number,Rarity,Deckbuilding Points 185,@dedication_image,@rarity_icon,@frame,Card ID,Art ID,@card_image,Set,Subset,@set_symbol,Copyright Text,Landscape Name,Supertype,Type,Subtype,Landscape Text,Landscape Flavor Text,@Landscape_Dedication,Landscape Mana,Landscape Defense,@rarity_icon_landscape,@image_landscape,Landscape Copyright Text,Ben's Rating,Dan's Rating
Put a fire unit from your hand into play attacking target unit on a wasteland.,Uncommon Fire Spell,Intimidate,Strategic,Spell,Enchantment,Fire,4,2,Banish target enemy unit until the end of the turn. ^(Return it to the battlefield on the space it was banished from. Treat that unit as though it was just summoned.)^,,,,,,F,94,Uncommon,1,dedication_Fire_2.png,Uncommon.png,frame_Spell_Fire.psd,F094,batteringram,prime-batteringram-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F094",,,,,,,,,,,,,0,0
Mutiny - summon au nit from an opponent's hand.,Uncommon Fire Spell,Mutiny,Strategic,Spell,Enchantment,Fire,6,2,Target opponent reveals their hand. Choose a unit with mana cost 6 or less from their hand and summon it to a Fire territory you control.,,,,,"ßß^Aranon's advance to the gates of Merenthia became known as the Thousand-Banner March, as his might converted foes into allies without a single drop of unnecessary blood spilled.^",F,95,Uncommon,1,dedication_Fire_2.png,Uncommon.png,frame_Spell_Fire.psd,F095,14,014-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F095",,,,,,,,,,,,,0,0
Molten Betrayal,Uncommon Fire Spell,Molten Betrayal,Strategic,Spell,Enchantment,Fire,7,2,"Ready target enemy unit. Gain control of that unit until the end of the turn. It gains %Aggressive% and cannot besiege territories this turn. If that unit wins a battle this turn, sacrifice it. ^(Units with Aggressive may march, charge or attack the turn you gain control of them.)^",,,,,"ßß^As Mosi fought, something came over him. He realized he could end the battle today.^",F,96,Uncommon,1,dedication_Fire_2.png,Uncommon.png,frame_Spell_Fire.psd,F096,despair,prime-despair-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F096",,,,,,,,,,,,,,
Cut your deck and play the top card .,Rare Fire Tactic,Flamescry,Strategic,Spell,Divination,Fire,3,1,"Choose an opponent. That opponent cuts your deck. Reveal the top card of your deck. You may play that card without paying its mana cost. Otherwise, put that card on the bottom of your deck. ^(If there is an X in that card’s mana cost, then you may pay X as you play it. If it's a territory, you may play it if you have not played a territory this turn.)^",,,,,,F,97,Rare,2,dedication_Fire_1.png,Rare.png,frame_Spell_Fire.psd,F097,40,040-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F097",,,,,,,,,,,,,0,0
Meteor Strike - deals X{d6} damage to each of up to 4 adjacent spaces on the board.,Rare Fire Spell,Meteor Storm,Strategic,Spell,Destruction,Fire,X+3,2,Choose a space. Deal X{d6} damage to all units in that space and each adjacent space. ^(You must pay 3 mana in addition to X mana in order to cast this spell. X may be any amount of mana you choose to pay when you cast this spell.)^,,,,,"ßß^""We thought the rain clouds would provide a respite from the blazing Skarsdan heat. It does not rain water there.""ß— Journal Entry, Errik of Merenthia^",F,98,Rare,2,dedication_Fire_2.png,Rare.png,frame_Spell_Fire.psd,F098,firestorm,prime-firestorm-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F098",,,,,,,,,,,,,0,0
"all units played here have Aggressive7/3/17: Changed to Bend and Break",Rare Fire Strategy,Bend and Break,,Strategy,Denial,Fire,4,2,"Whenever an opponent summons a unit to a territory they control, that player returns that territory to its owner's hand.",,,,,,F,99,Rare,2,dedication_Fire_2.png,Rare.png,frame_Strategy_Fire.psd,F099,topple,prime-topple-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F099",,,, ,,,,,,,wasteland_fire.jpg,,0,0
Unit gets aggressive and ranged until end of turn. Then sacrifice it.,Rare Fire Spell,Fit of Rage,Strategic,Spell,Alteration,Fire,4,2,"Target unit you control gains %Aggressive% and %Ranged% until the end of the turn. Sacrifice that unit at the end of the turn. ^(That unit may march, charge or attack units and territories up to one space away the turn you summon it.)^",,,,,"ßß^""And they say maniacal, homicidal violence never solves anything...""ß — Bhu, Ogre General^",F,100,Rare,2,dedication_Fire_2.png,Rare.png,frame_Spell_Fire.psd,F100,battle,prime-battle-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F100",,,,,,,,,,,,,0,0
Wasteland,Common Fire Territory,Wasteland,Basic,Territory,Wasteland,Fire,,1,"^Wasteland adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Fire.^",,,~1,2,,F,101,Common,0,dedication_Fire_1.png,Common.png,frame_Territory_Fire.psd,F101,44,044-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F101",Wasteland,Basic,Territory,Wasteland,"^Wasteland adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Fire.^",0,dedication_Fire_1.png,~1,2,Common.png,wasteland_fire.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F101",0,0
Wasteland,Common Fire Territory,Wasteland,Basic,Territory,Wasteland,Fire,,1,"^Wasteland adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Fire.^",,,~1,2,,F,102,Common,0,dedication_Fire_1.png,Common.png,frame_Territory_Fire.psd,F102,wasteland,prime-wasteland-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F102",Wasteland,Basic,Territory,Wasteland,"^Wasteland adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Fire.^",0,dedication_Fire_1.png,~1,2,Common.png,wasteland_fire.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F102",0,0
Wasteland,Common Fire Territory,Wasteland,Basic,Territory,Wasteland,Fire,,1,"^Wasteland adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Fire.^",,,~1,2,,F,103,Common,0,dedication_Fire_1.png,Common.png,frame_Territory_Fire.psd,F103,wasteland2,prime-wasteland2-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F103",Wasteland,Basic,Territory,Wasteland,"^Wasteland adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Fire.^",0,dedication_Fire_1.png,~1,2,Common.png,wasteland_fire.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F103",0,0
Wasteland,Common Fire Territory,Wasteland,Basic,Territory,Wasteland,Fire,,1,"^Wasteland adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Fire.^",,,~1,2,,F,104,Common,0,dedication_Fire_1.png,Common.png,frame_Territory_Fire.psd,F104,wasteland3,prime-wasteland3-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F104",Wasteland,Basic,Territory,Wasteland,"^Wasteland adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Fire.^",0,dedication_Fire_1.png,~1,2,Common.png,wasteland_fire.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F104",0,0
"Has Defense +1 if at a River.7/3/17: Changed to Silverscale Serpent",Common Water Unit,Silverscale Serpent,,Unit,Crab Monster,Water,1,1,"When Silverscale Serpent dies, you may draw a card.",1,1,,,"ßß^""One sharp crack and the tender leg meat is revealed. 'Truly,' the crab reflected, 'knights are a delicacy.'""ß— From ""The Hungry Crab"", a children's compendium^",W,105,Common,0,dedication_Water_1.png,Common.png,frame_Unit_Water.psd,W105,seamonster3,prime-seamonster3-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W105",,,,,,,,,,,,,0,0
Vanilla medium,Common Water Unit,Dedicated Monk,,Unit,Capra Monk,Water,2,1,,2,2,,,"^Mysterious and isolated, the Capra appeared as if from legend at the beginning of the new dawn. Their ancient monastic order is devoted to studying ancient artifacts and the protection of their mountain strongholds.^",W,106,Common,0,dedication_Water_1.png,Common.png,frame_Unit_Water.psd,W106,23,023-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W106",,,,,,,,,,,,,0,0
Costs 1 less if summoned at a River.,Common Water Unit,Ferrian Swashbuckler,,Unit,Human Pirate,Water,2,2,"%Counterattack% ^(The first time this unit wins a defense roll against a unit this turn, it may attack the unit that attacked it.)^",1,3,,,,W,107,Common,0,dedication_Water_2.png,Common.png,frame_Unit_Water.psd,W107,swarm,prime-swarm-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W107",,,,,,,,,,,,,0,0
"When it enters play, tap an adjacent enemy unit. It does not untap next turn.",Common Water Unit,Icecaster Mage,,Unit,Human Wizard,Water,3,1,"When you summon Icecaster Mage, you may %freeze% target unit. ^(Frozen units are depleted and cannot ready. During its controller's strategy phase, they may roll a die. On an even roll, it is no longer frozen.)^",2,2,,,"ßß^""'Halt!'... No, wait, that's not it...""^",W,108,Common,0,dedication_Water_1.png,Common.png,frame_Unit_Water.psd,W108,caster,prime-caster-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W108",,,,,,,,,,,,,0,0
Frozen Yeti,Common Water Unit,Frozen Yeti,,Unit,Yeti Soldier,Water,4,2,"When you summon Frozen Yeti, %freeze% it. ^(Frozen units are depleted and cannot ready. During your strategy phase, you may roll a die. On an even roll, this unit is no longer frozen.)^",5,5,,,"ßß^Years ago, the Capra found an entire army of Yeti soldiers preserved by a powerful enchantment. Now, they deliver them upon request for a very reasonable price.^",W,109,Common,0,dedication_Water_2.png,Common.png,frame_Unit_Water.psd,W109,monster2,prime-monster2-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W109",,,,,,,,,,,,,,
Dauntless Duelist - 3/3 Resilient for 5,Common Water Unit,Dauntless Duelist,,Unit,Human Pirate,Water,5,2,Pay {3}: Dauntless Duelist gains %Resilient% until the end of the turn. ^(Units with Resilient do not suffer defense penalties.)^,3,3,,,,W,110,Common,0,dedication_Water_2.png,Common.png,frame_Unit_Water.psd,W110,bolt,prime-bolt-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W110",,,,,,,,,,,,,0,0
Return target card in play to its owner's hand.,Uncommon Water Unit,Ferrian Revoker,,Unit,Human Wizard,Water,3,1,"%Counterattack% ^(The first time this unit wins a defense roll against a unit this turn, it may attack the unit that attacked it.)^ßßPay {2}, sacrifice Ferrian Revoker: Return target unit to its owner's hand.",2,3,,,,W,111,Uncommon,1,dedication_Water_1.png,Uncommon.png,frame_Unit_Water.psd,W111,24,024-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W111",,,,,,,,,,,,,,
Monk unit with counter attack,Uncommon Water Unit,Sagacious Master,,Unit,Capra Monk,Water,5,2,"%Counterattack% ^(The first time this unit wins a defense roll against a unit this turn, it may attack the unit that attacked it.)^",3,5,,,"ßß^“Our order teaches to never throw the first punch. But always be sure you throw the last.”ß— Kha'la Ra, Capra Monk Instructor^",W,112,Uncommon,1,dedication_Water_2.png,Uncommon.png,frame_Unit_Water.psd,W112,hermit,prime-hermit-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W112",,,,,,,,,,,,,0,0
Big vanilla,Uncommon Water Unit,Fathom Monster,,Unit,Monster,Water,6,2,Fathom Monster can only march or charge if it is on a River.ßßPay {3}: Target adjacent territory becomes a River until the end of the turn. ^(This ability may target the territory it is on.)^,7,7,,,,W,113,Uncommon,1,dedication_Water_2.png,Uncommon.png,frame_Unit_Water.psd,W113,seamonster,prime-seamonster-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W113",,,,,,,,,,,,,0,0
Another unit gets -1/+1 until the end of the turn,Uncommon Water Unit,Vaporsage,,Unit,Human Alchemist,Water,3,1,Pay {3}: Target unit gets -1/+1 until the end of the turn.,2,2,,,ßß^Alchemists at the college of the Crystal Cove quickly mastered the art of transforming nearly any substance into harmless vapor. The other way? Not so much.^,W,114,Uncommon,1,dedication_Water_1.png,Uncommon.png,frame_Unit_Water.psd,W114,3,003-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W114",,,,,,,,,,,,,,
"When a unit is successfully blocked by this unit, you may move that unit back one space.",Rare Water Unit,Repulsor Mage,,Unit,Capra Mage,Water,3,2,"Whenever Repulsor Mage successfully defends against an attacking unit, you may move the attacking unit back up to 1 space.",2,3,,,"ßß^""What do you mean 'the goat won't let us cross the bridge'??""ß— Hagrand, Troll Mage, Last Words^",W,115,Rare,2,dedication_Water_2.png,Rare.png,frame_Unit_Water.psd,W115,warrior5,prime-warrior5-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W115",,,,,,,,,,,,,0,0
draw an additional card at the beginning of your turn.,Rare Water Unit,Cryomancer Initiate,,Unit,Human Wizard,Water,4,2,"Pay {2}, £: Draw cards equal to Cryomancer Initiate's Strength, then %freeze% Cryomancer Initiate. ^(Frozen units are depleted and cannot ready. During its controller's Strategy phase, they may roll a die. On an even roll, it is no longer frozen.)^",2,2,,,"ßß^Admittedly, their strange form of training gives them the time they need to ponder their reading assignments^",W,116,Rare,2,dedication_Water_2.png,Rare.png,frame_Unit_Water.psd,W116,caster2,prime-caster2-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W116",,,,,,,,,,,,,0,0
Water elemental with attack equal to the number of rivers in play.,Rare Water Unit,Tide Mystic,,Unit,Human Mage,Water,4,2,"When Tide Mystic battles a unit, it gets +X/+X until the end of the battle, where X is the number of unconquered Water territories you control.",1,1,,,"ßß^“I make the seas bow to my will, while you stand there, quivering on the sand. Move aside, child.”ß— Jenesa, Tide Mystic^",W,117,Rare,2,dedication_Water_2.png,Rare.png,frame_Unit_Water.psd,W117,7,007-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W117",,,,,,,,,,,,,0,0
"Whenever a unit attacks this unit, freeze it.",Rare Water Unit,Frostburn Blademaster,,Unit,Human Pirate,Water,5,2,"When Frostburn Blademaster defends against a non-Ranged attack, %freeze% the attacking unit at the end of the battle. ^(Frozen units are depleted and cannot ready. During its controller's Strategy phase, they may roll a die. On an even roll, it is no longer frozen.)^",3,3,,,,W,118,Rare,2,dedication_Water_2.png,Rare.png,frame_Unit_Water.psd,W118,14,014-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W118",,,,,,,,,,,,,0,0
Counterattacking Capra monk. Draw a card for each frozen unit on the battlefield,Rare Water Unit,"Tek'Talor, Capra Sage",Legendary,Unit,Capra Monk,Water,6,2,"%Counterattack% ^(The first time this unit wins a defense roll against a unit this turn, it may attack the unit that attacked it.)^ßßAt the beginning of your turn, you may draw a card for each frozen unit on the battlefield.",3,4,,,,W,119,Rare,2,dedication_Water_2.png,Rare.png,frame_Unit_Water.psd,W119,30,030-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W119",,,,,,,,,,,,,0,0
Return the unit that kills your unit to its owner's hand,Common Water Spell,Vaporize,Tactical,Spell,Negation,Water,X+1,1,"Counter target player's unit order with mana cost X. ^(Each time a player plays a non-territory card, it is considered an order until it resolves. You may respond and counter that order with this card if it is a unit costing X.)^",,,,,,W,120,Common,0,dedication_Water_1.png,Common.png,frame_tactical_Spell_Water.psd,W120,15,015-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W120",,,,,,,,,,,,,0,0
"Ice armor7/3/17: Added 1 to cost and ""Draw a card.""",Common Water Spell,Armor of Ice,Tactical,Spell,Protection,Water,2,1,Target unit gets -2/+2 until the end of the turn. Draw a card.,,,,,ßß^As much a hindrance as a help...^,W,121,Common,0,dedication_Water_1.png,Common.png,frame_tactical_Spell_Water.psd,W121,40,040-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W121",,,,,,,,,,,,,0,0
"Look at the top 5 cards of your deck. Reveal a spell from among them and draw it, then put the rest on the bottom of your deck",Common Water Tactic,Banishing Wave,Strategic,Spell,Negation,Water,3,2,Destroy all strategies.,,,,,,W,122,Common,0,dedication_Water_2.png,Common.png,frame_Spell_Water.psd,W122,divination2,prime-divination2-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W122",,,,,,,,,,,,,0,0
Freeze target unit (cantrip),Common Water Tactic,Frost Bolt,Tactical,Spell,Conjuration,Water,3,1,"%Freeze% target unit. ^(Frozen units are depleted and cannot ready. During its controller's Strategy phase, they may roll a die. On an even roll, it is no longer frozen.)^",,,,,,W,123,Common,0,dedication_Water_1.png,Common.png,frame_tactical_Spell_Water.psd,W123,32,032-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W123",,,,,,,,,,,,,0,0
"Mercenaries7/3/17: Changed to Rising Tides (Strategy)",Common Neutral Unit,Rising Tides,,Strategy,Sorcery,Water,4,1,Add 2 to the result of die rolls you make.,,,,,,W,124,Common,0,dedication_Water_1.png,Common.png,frame_Strategy_Water.psd,E124,badluck,prime-badluck-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E124",,,,,,,,,,,,,4,4
Target player puts a number of cards equal to the number of rivers you control from the top of their deck into the discard.,Common Water Spell,Drowned Hopes,Tactical,Spell,Negation,Water,5,2,"Counter target player's unit order. That unit's owner puts the top X cards of their deck into their discard, where X is equal to the number of unconquered Rivers on the battlefield. ^(Each time a player plays a non-territory card, it is considered an order until it resolves. You may respond and counter that order with this card if it is a unit.)^",,,,,,W,125,Common,0,dedication_Water_2.png,Common.png,frame_tactical_Spell_Water.psd,W125,drown,prime-drown-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W125",,,,,,,,,,,,,0,0
Violent Squall - Kill target unit with Flying,Uncommon Water Spell,Savage Squall,Strategic,Spell,Conjuration,Water,2,2,"Kill target unit with Flying, Explorer or Aggressive.",,,,,"ßß^""We have lost more boats than we can count, and an entire squadron of griffons. There is no safe way to sneak through Ferria.""ß— Kyri, Halian Scout^",W,126,Uncommon,1,dedication_Water_2.png,Uncommon.png,frame_Spell_Water.psd,W126,lightning,prime-lightning-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W126",,,,,,,,,,,,,0,0
"target player discards a card and you draw one7/3/17: Changed to Discover Plans (anti-strategy) from Thought Leech which wasn't being played.",Uncommon Water Spell,Discover Plans,Strategic,Spell,Divination,Water,3,1,Gain control of target strategy. ^(This effect does not end at teh end of the turn.),,,,,"ßß^""Are you thinking what I'm thinking? Let's investigate.""ß— Hargrid Koll, Thoughtmage^",W,127,Uncommon,1,dedication_Water_1.png,Uncommon.png,frame_Spell_Water.psd,W127,9,009-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W127",,,,,,,,,,,,,0,0
Enemy units cannot move this turn.,Uncommon Water Spell,High Tide,Tactical,Spell,Alteration,Water,4,2,^Beginning of Any Player's Turn Only^ —Non-Flying units cannot march or charge this turn.ßßDraw a card.,,,,,,W,128,Uncommon,1,dedication_Water_2.png,Uncommon.png,frame_tactical_Spell_Water.psd,W128,12,012-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W128",,,,,,,,,,,,,0,0
Reduce the results of each die in a roll to 1.,Uncommon Water Spell,Serene Silence,Tactical,Spell,Negation,Water,4,2,"Change the result of each die in the next roll target player makes to 1. ^(For instance, if five dice are rolled, the result is 5. This cannot reduce the result of a roll that has already been made.)^",,,,,"ßß^Quelled by the warlock's sorcery, the rear forces could not hear the fierce warcry or the trumpet blast over the drop of a single pin.^",W,129,Uncommon,1,dedication_Water_2.png,Uncommon.png,frame_tactical_Spell_Water.psd,W129,28,028-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W129",,,,,,,,,,,,,4,4
You gain control of target unit.,Uncommon Water Tactic,Cold Betrayal,Strategic,Spell,Enchantment,Water,4,2,"%Freeze% target unit, then gain control of it. ^(This change of control does not end at the end of the turn. Frozen units are depleted and cannot ready. During its controller's Strategy phase, they may roll a die. On an even roll, it is no longer frozen.)^",,,,,,W,130,Uncommon,1,dedication_Water_2.png,Uncommon.png,frame_Spell_Water.psd,W130,20,020-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W130",,,,,,,,,,,,,0,0
"whoever controls a unit here draws an extra card each turn.7/3/17: Changed to Moat (Strategy)",Uncommon Water Territory,Moat,,Strategy,Denial,Water,5,2,Territories you control can't be besieged unless the attacking player pays {2}.,,,,,,W,131,Uncommon,1,dedication_Water_2.png,Uncommon.png,frame_Strategy_Water.psd,W131,drown,prime-drown-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W131",,,,,,,,,,,river_water.jpg,,0,0
Pay the cost of target action in target player's discard and play it. Then banish it.,Rare Water Spell,Psychic Piracy,Strategic,Spell,Arcane,Water,X+1,1,"Choose target spell card in an opponent's discard with mana cost equal to X. Cast that spell, then banish it. ^(X may be any amount of mana you choose to pay when you cast this spell.)^",,,,,ßß^Ferria readily welcomes travelers within its borders. Especially those with thoughts their scribes have not yet recorded.^,W,132,Rare,2,dedication_Water_1.png,Rare.png,frame_Spell_Water.psd,W132,22,022-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W132",,,,,,,,,,,,,0,0
Return all units on a line to their owners' hands.,Rare Water Tactic,Brainfreeze,Strategic,Spell,Divination,Water,2,2,"Draw three cards. At the beginning of your next turn, skip drawing a card.",,,,,,W,133,Rare,2,dedication_Water_2.png,Rare.png,frame_Spell_Water.psd,W133,tamlan,prime-tamlan-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W133",,,,,,,,,,,,,0,0
Destroy all non-Flying units.,Rare Water Spell,Wash Away,Tactical,Spell,Negation,Water,4,2,"For each unit in target space, its controller pays its mana cost or returns that unit to its owner's hand.",,,,,"ßß^""It was not just water that seeped from the ground, for even the fish died. It was judgment.""ß— Stormwing, Mother of Tempests^",W,134,Rare,2,dedication_Water_2.png,Rare.png,frame_tactical_Spell_Water.psd,W134,26,026-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W134",,,,,,,,,,,,,4,4
"Counter target action by getting rid of cards from your discard7/3/17: Changed to Lullaby of Tides (Strategy)",Rare Water Territory,Lullaby of Tides,,Strategy,Denial,Water,5,2,"Units with Strength 4 or greater do not ready at the beginning of their controller's turns.ßßWhenever a unit with Strength 4 or greater attacks, deplete it at the end of the battle.",,,,,,W,135,Rare,2,dedication_Water_2.png,Rare.png,frame_Strategy_Water.psd,W135,seamonster2,prime-seamonster2-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W135",,,,,,,,,,,river_water.jpg,,0,0
River,Common Water Territory,River,Basic,Territory,River,Water,,1,"^River adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Water.^",,,~1,2,,W,136,Common,0,dedication_Water_1.png,Common.png,frame_Territory_Water.psd,W136,45,045-Prime-Water.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W136",River,Basic,Territory,River,"^River adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Water.^",0,dedication_Water_1.png,~1,2,Common.png,river_water.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W136",0,0
River,Common Water Territory,River,Basic,Territory,River,Water,,1,"^River adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Water.^",,,~1,2,,W,137,Common,0,dedication_Water_1.png,Common.png,frame_Territory_Water.psd,W137,river,prime-river-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W137",River,Basic,Territory,River,"^River adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Water.^",0,dedication_Water_1.png,~1,2,Common.png,river_water.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W137",0,0
River,Common Water Territory,River,Basic,Territory,River,Water,,1,"^River adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Water.^",,,~1,2,,W,138,Common,0,dedication_Water_1.png,Common.png,frame_Territory_Water.psd,W138,river2,prime-river2-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W138",River,Basic,Territory,River,"^River adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Water.^",0,dedication_Water_1.png,~1,2,Common.png,river_water.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W138",0,0
River,Common Water Territory,River,Basic,Territory,River,Water,,1,"^River adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Water.^",,,~1,2,,W,139,Common,0,dedication_Water_1.png,Common.png,frame_Territory_Water.psd,W139,river3,prime-river3-Water.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W139",River,Basic,Territory,River,"^River adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Water.^",0,dedication_Water_1.png,~1,2,Common.png,river_water.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - W139",0,0
